code;name_pl;name_en
C76.3;Miednica;Malignant neoplasm of pelvis
C76.4;Kończyna górna;Malignant neoplasm of upper limb
C76.5;Kończyna dolna;Malignant neoplasm of lower limb
C76.7;Inne niedokładnie określone umiejscowienie;Malignant neoplasm of other ill-defined sites
C76.8;Zmiana przekraczająca granice innych i niedokładnie określonych umiejscowień;Malignant neoplasm overlapping other and ill-defined sites
C77;Wtórny i nieokreślony nowotwór złośliwy węzłów chłonnych;
C77.0;Węzły chłonne głowy, twarzy i szyi;Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck
C77.1;Węzły chłonne wewnątrz klatki piersiowej;Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
C77.2;Węzły chłonne wewnątrz jamy brzusznej;Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C77.3;Węzły chłonne kończyny górnej i pachy;Secondary and unspecified malignant neoplasm of axillary and upper limb lymph nodes
C77.4;Węzły chłonne kończyny dolnej i pachwiny;Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
C77.5;Węzły chłonne wewnątrz miednicy;Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
C77.8;Węzły chłonne mnogich regionów;Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions
C77.9;Węzły chłonne, nieokreślone;Secondary and unspecified malignant neoplasm of lymph node, unspecified
C78;Wtórny nowotwór złośliwy układu oddechowego i pokarmowego;
C78.0;Wtórny nowotwór złośliwy płuc;Secondary malignant neoplasm of lung
C78.1;Wtórny nowotwór złośliwy śródpiersia;Secondary malignant neoplasm of mediastinum
C78.2;Wtórny nowotwór złośliwy opłucnej;Secondary malignant neoplasm of pleura
C78.3;Wtórny nowotwór złośliwy innych i nieokreślonych narządów układu oddechowego;Secondary malignant neoplasm of other and unspecified respiratory organs
C78.4;Wtórny nowotwór złośliwy jelita cienkiego;Secondary malignant neoplasm of small intestine
C78.5;Wtórny nowotwór złośliwy jelita grubego i odbytnicy;Secondary malignant neoplasm of large intestine and rectum
C78.6;Wtórny nowotwór złośliwy otrzewnej i przestrzeni zaotrzewnowej;Secondary malignant neoplasm of retroperitoneum and peritoneum
C78.7;Wtórny nowotwór złośliwy wątroby;Secondary malignant neoplasm of liver
C78.8;Wtórny nowotwór złośliwy innych i nieokreślonych części przewodu pokarmowego;Secondary malignant neoplasm of other and unspecified digestive organs
C79;Wtórny nowotwór złośliwy o innym umiejscowieniu;
C79.0;Wtórny nowotwór złośliwy nerki i miedniczki nerkowej;Secondary malignant neoplasm of kidney and renal pelvis
C79.1;Wtórny nowotwór złośliwy pęcherza oraz innych i nieokreślonych części układu moczowego;Secondary malignant neoplasm of bladder and other and unspecified urinary organs
C79.2;Wtórny nowotwór złośliwy skóry;Secondary malignant neoplasm of skin
C79.3;Wtórny nowotwór złośliwy mózgu i opon mózgowo-rdzeniowych;Secondary malignant neoplasm of brain and cerebral meninges
C79.4;Wtórny nowotwór złośliwy innych i nieokreślonych części układu nerwowego;Secondary malignant neoplasm of other and unspecified parts of nervous system
C79.5;Wtórny nowotwór złośliwy kości i szpiku kostnego;Secondary malignant neoplasm of bone and bone marrow
C79.6;Wtórny nowotwór złośliwy jajnika;Secondary malignant neoplasm of ovary
C79.7;Wtórny nowotwór złośliwy nadnerczy;Secondary malignant neoplasm of adrenal gland
C79.8;Wtórny nowotwór złośliwy o innym określonym umiejscowieniu;Secondary malignant neoplasm of other specified sites
C80;Nowotwór złośliwy bez określenia umiejscowienia;Malignant neoplasm without specification of site
C81;Ziarnica złośliwa [choroba Hodgkina];
C81.0;Przewaga limfocytów;Hodgkins disease with lymphocytic predominance
C81.1;Stwardnienie guzkowe;Hodgkins disease with nodular sclerosis
C81.2;Postać mieszanokomórkowa;Hodgkins disease with mixed cellularity
C81.3;Zanik limfocytów;Hodgkins disease with lymphocytic depletion
C81.7;Inna postać ziarnicy złośliwej;Other Hodgkins disease
C81.9;Ziarnica złośliwa, nieokreślona;Hodgkins disease, unspecified
C82;Chłoniak nieziarniczy guzkowy [grudkowy];
C82.0;Z małych komórek z wpuklonym jądrem, guzkowy;Small cleaved cell, follicular non-Hodgkins lymphoma
C82.1;Mieszany z małych komórek z wpuklonym jądrem i z dużych komórek, guzkowy;Mixed small cleaved and large cell, follicular non-Hodgkins lymphoma
C82.2;Z dużych komórek, guzkowy;Large cell, follicular non-Hodgkins lymphoma
C82.7;Inne postacie chłoniaka nieziarniczego guzkowego;Other types of follicular non-Hodgkins lymphoma
C82.9;Chłoniak nieziarniczy guzkowy, nieokreślony;Follicular non-Hodgkins lymphoma, unspecified
C83;Chłoniak nieziarniczy rozlany;
C83.0;Z małych komórek (rozlany);Small cell (diffuse) non-Hodgkins lymphoma
C83.1;Z małych komórek z wpuklonym jądrem (rozlany);Small cleaved cell (diffuse) non-Hodgkins lymphoma
C83.2;Mieszany z małych i dużych komórek (rozlany);Mixed small and large cell (diffuse) non-Hodgkins lymphoma
C83.3;Z dużych komórek (rozlany);Large cell (diffuse) non-Hodgkins lymphoma
C83.4;Immunoblastyczny (rozlany);Immunoblastic (diffuse) non-Hodgkins lymphoma
C83.5;Limfoblastyczny (rozlany);Lymphoblastic (diffuse) non-Hodgkins lymphoma
C83.6;Niezróżnicowany (rozlany);Undifferentiated (diffuse) non-Hodgkins lymphoma
C83.7;Guz Burkitta;Burkitts tumour non-Hodgkins lymphoma
C83.8;Inne postacie rozlanych chłoniaków nieziarniczych;Other types of diffuse non-Hodgkins lymphoma
C83.9;Rozlany chłoniak nieziarniczy, nieokreślony;Diffuse non-Hodgkins lymphoma, unspecified
C84;Obwodowy i skórny chłoniak z komórek T;
C84.0;Ziarniniak grzybiasty;Mycosis fungoides
C84.1;Choroba Sézary’ego;Sezarys disease
C84.2;Chłoniak strefy T;T-zone lymphoma
C84.3;Chłoniak limfoepitelioidalny;Lymphoepithelioid lymphoma
C84.4;Obwodowy chłoniak z komórek T;Peripheral T-cell lymphoma
C84.5;Inne i nieokreślone chłoniaki z komórek T;Other and unspecified T-cell lymphomas
C85;Inne i nieokreślone postacie chłoniaka nieziarniczego;
C85.0;Mięsak limfatyczny;Lymphosarcoma
C85.1;Chłoniak z komórek B, nieokreślony;B-cell lymphoma, unspecified
C85.7;Inne określone postacie chłoniaka nieziarniczego;Other specified types of non-Hodgkins lymphoma
C85.9;Chłoniak nieziarniczy, nieokreślony;Non-Hodgkins lymphoma, unspecified type
C88;Złośliwe choroby immunoproliferacyjne;
C88.0;Makroglobulinemia Waldenströma;Waldenstroms macroglobulinaemia
C88.1;Choroba łańcuchów ciężkich alfa;Alpha heavy chain disease
C88.2;Choroba łańcuchów ciężkich gamma;Gamma heavy chain disease
C88.3;Choroba immunoproliferacyjna jelita cienkiego;Immunoproliferative small intestinal disease
C88.7;Inne złośliwe choroby immunoproliferacyjne;Other malignant immunoproliferative diseases
C88.9;Złośliwa choroba immunoproliferacyjna, nieokreślona;Malignant immunoproliferative disease, unspecified
C90;Szpiczak mnogi i nowotwory złośliwe z komórek plazmatycznych;
C90.0;Szpiczak mnogi;Multiple myeloma
C90.1;Białaczka plazmatycznokomórkowa;Plasma cell leukaemia
C90.2;Pozaszpikowa postać szpiczaka;Plasmacytoma, extramedullary
C91;Białaczka limfatyczna;
C91.0;Ostra białaczka limfoblastyczna;Acute lymphoblastic leukaemia
C91.1;Przewlekła białaczka limfocytowa;Chronic lymphocytic leukaemia
C91.2;Podostra białaczka limfocytowa;Subacute lymphocytic leukaemia
C91.3;Białaczka prolimfocytarna;Prolymphocytic leukaemia
C91.4;Białaczka włochatokomórkowa;Hairy-cell leukaemia
C91.5;Białaczka dorosłych z komórek T;Adult T-cell leukaemia
C91.7;Inna białaczka limfatyczna;Other lymphoid leukaemia
C91.9;Białaczka limfatyczna, nieokreślona;Lymphoid leukaemia, unspecified
C92;Białaczka szpikowa;
C92.0;Ostra białaczka szpikowa;Acute myeloid leukaemia
C92.1;Przewlekła białaczka szpikowa;Chronic myeloid leukaemia
C92.2;Podostra białaczka szpikowa;Subacute myeloid leukaemia
C92.3;Mięsak szpikowy;Myeloid sarcoma
C92.4;Ostra białaczka promielocytowa;Acute promyelocytic leukaemia
C92.5;Ostra białaczka szpikowo-monocytowa;Acute myelomonocytic leukaemia
C92.7;Inna białaczka szpikowa;Other myeloid leukaemia
C92.9;Białaczka szpikowa, nieokreślona;Myeloid leukaemia, unspecified
C93;Białaczka monocytowa;
C93.0;Ostra białaczka monocytowa;Acute monocytic leukaemia
C93.1;Przewlekła białaczka monocytowa;Chronic monocytic leukaemia
C93.2;Podostra białaczka monocytowa;Subacute monocytic leukaemia
C93.7;Inna białaczka monocytowa;Other monocytic leukaemia
C93.9;Białaczka monocytowa, nieokreślona;Monocytic leukaemia, unspecified
C94;Inne białaczki określonego rodzaju;
C94.0;Ostra czerwienica i erytroleukemia;Acute erythraemia and erythroleukaemia
C94.1;Przewlekła czerwienica;Chronic erythraemia
C94.2;Ostra białaczka megakarioblastyczna;Acute megakaryoblastic leukaemia
C94.3;Białaczka z komórek tucznych;Mast cell leukaemia
C94.4;Ostra szpikowica uogólniona;Acute panmyelosis
C94.5;Ostre zwłóknienie szpiku;Acute myelofibrosis
C94.7;Inne określone białaczki;Other specified leukaemias
C95;Białaczka z komórek nieokreślonego rodzaju;
C95.0;Ostra białaczka z komórek nieokreślonego rodzaju;Acute leukaemia of unspecified cell type
C95.1;Przewlekła białaczka z komórek nieokreślonego rodzaju;Chronic leukaemia of unspecified cell type
C95.2;Podostra białaczka z komórek nieokreślonego rodzaju;Subacute leukaemia of unspecified cell type
C95.7;Inna białaczka z komórek nieokreślonego rodzaju;Other leukaemia of unspecified cell type
C95.9;Białaczka, nieokreślona;Leukaemia, unspecified
C96;Inny i nieokreślony nowotwór złośliwy tkanki limfatycznej, układu krwiotwórczego i tkanek pokrewnych;
C96.0;Choroba Letterera-Siwego;Letterer-Siwe disease
C96.1;Histiocytoza złośliwa;Malignant histiocytosis
C96.2;Guz złośliwy z komórek tucznych;Malignant mast cell tumour
C96.3;Prawdziwy chłoniak histiocytarny;True histiocytic lymphoma
C96.7;Inne określone nowotwory złośliwe tkanki limfatycznej, układu krwiotwórczego i tkanek pokrewnych;Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue
C96.9;Nowotwór złośliwy tkanki limfatycznej, układu krwiotwórczego i tkanek pokrewnych, nieokreślony;Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified
C97;Nowotwory złośliwe o niezależnym (pierwotnym) mnogim umiejscowieniu;Malignant neoplasms of independent (primary) multiple sites
D00;Rak in situ jamy ustnej, przełyku i żołądka;
D00.0;Warga, jama ustna i gardło;Carcinoma in situ of lip, oral cavity and pharynx
D00.1;Przełyk;Carcinoma in situ of oesophagus
D00.2;Żołądek;Carcinoma in situ of stomach
D01;Rak in situ innych i nieokreślonych części narządów układu pokarmowego;
D01.0;Okrężnica;Carcinoma in situ of colon
D01.1;Zgięcie esiczo-odbytnicze;Carcinoma in situ of rectosigmoid junction
D01.2;Odbytnica;Carcinoma in situ of rectum
D01.3;Odbyt i kanał odbytu;Carcinoma in situ of anus and anal canal
D01.4;Inne i nieokreślone części jelita;Carcinoma in situ of other and unspecified parts of intestine
D01.5;Wątroba, pęcherzyk żółciowy i drogi żółciowe;Carcinoma in situ of liver, gallbladder and bile ducts
D01.7;Inne określone narządy układu pokarmowego;Carcinoma in situ of other specified digestive organs
D01.9;Narządy układu pokarmowego, nieokreślone;Carcinoma in situ of digestive organ, unspecified
D02;Rak in situ ucha środkowego i układu oddechowego;
D02.0;Krtań;Carcinoma in situ of larynx
D02.1;Tchawica;Carcinoma in situ of trachea
D02.2;Oskrzele i płuco;Carcinoma in situ of bronchus and lung
D02.3;Inne części układu oddechowego;Carcinoma in situ of other parts of respiratory system
D02.4;Układ oddechowy, umiejscowienie nieokreślone;Carcinoma in situ of respiratory system, unspecified
D03;Czerniak in situ;
D03.0;Czerniak in situ wargi;Melanoma in situ of lip
D03.1;Czerniak in situ powieki, łącznie z kątem oka;Melanoma in situ of eyelid, including canthus
D03.2;Czerniak in situ ucha i przewodu słuchowego zewnętrznego;Melanoma in situ of ear and external auricular canal
D03.3;Czerniak in situ innych i nieokreślonych części twarzy;Melanoma in situ of other and unspecified parts of face
D03.4;Czerniak in situ owłosionej skóry głowy i skóry szyi;Melanoma in situ of scalp and neck
D03.5;Czerniak in situ tułowia;Melanoma in situ of trunk
D03.6;Czerniak in situ kończyny górnej, łącznie z barkiem;Melanoma in situ of upper limb, including shoulder
D03.7;Czerniak in situ kończyny dolnej, łącznie z biodrem;Melanoma in situ of lower limb, including hip
D03.8;Czerniak in situ innych umiejscowień;Melanoma in situ of other sites
D03.9;Czerniak in situ, umiejscowienie nieokreślone;Melanoma in situ, unspecified
D04;Rak in situ skóry;
D04.0;Skóra wargi;Carcinoma in situ of skin of lip
D04.1;Skóra powieki, łącznie z kątem oka;Carcinoma in situ of skin of eyelid, including canthus
D04.2;Skóra ucha i przewodu słuchowego zewnętrznego;Carcinoma in situ of skin of ear and external auricular canal
D04.3;Skóra innych i nieokreślonych części twarzy;Carcinoma in situ of skin of other and unspecified parts of face
D04.4;Skóra owłosiona głowy i szyi;Carcinoma in situ of skin of scalp and neck
D04.5;Skóra tułowia;Carcinoma in situ of skin of trunk
D04.6;Skóra kończyny górnej, łącznie z barkiem;Carcinoma in situ of skin of upper limb, including shoulder
D04.7;Skóra kończyny dolnej, łącznie z biodrem;Carcinoma in situ of skin of lower limb, including hip
D04.8;Skóra, inne umiejscowienie;Carcinoma in situ of skin of other sites
D04.9;Skóra, umiejscowienie nieokreślone;Carcinoma in situ of skin, unspecified
D05;Rak in situ piersi;
D05.0;Rak zrazikowy in situ;Lobular carcinoma in situ
D05.1;Rak wewnątrzprzewodowy in situ;Intraductal carcinoma in situ
D05.7;Inny rak piersi in situ;Other carcinoma in situ of breast
D05.9;Rak in situ piersi, umiejscowienie nieokreślone;Carcinoma in situ of breast, unspecified
D06;Rak in situ szyjki macicy;
D06.0;Błona śluzowa kanału szyjki macicy;Carcinoma in situ of endocervix
D06.1;Błona śluzowa zewnętrznej powierzchni szyjki macicy;Carcinoma in situ of exocervix
D06.7;Inna część szyjki macicy;Carcinoma in situ of other parts of cervix
D06.9;Szyjka macicy, umiejscowienie nieokreślone;Carcinoma in situ of cervix, unspecified
D07;Rak in situ innych i nieokreślonych narządów płciowych;
D07.0;Błona śluzowa macicy;Carcinoma in situ of endometrium
D07.1;Srom;Carcinoma in situ of vulva
D07.2;Pochwa;Carcinoma in situ of vagina
D07.3;Inne i nieokreślone narządy płciowe żeńskie;Carcinoma in situ of other and unspecified female genital organs
D07.4;Prącie;Carcinoma in situ of penis
D07.5;Gruczoł krokowy;Carcinoma in situ of prostate
D07.6;Inne i nieokreślone narządy płciowe męskie;Carcinoma in situ of other and unspecified male genital organs
D09;Rak in situ o innym i nieokreślonym umiejscowieniu;
D09.0;Pęcherz moczowy;Carcinoma in situ of bladder
D09.1;Inne i nieokreślone części układu moczowego;Carcinoma in situ of other and unspecified urinary organs
D09.2;Oko;Carcinoma in situ of eye
D09.3;Tarczyca i inne gruczoły wydzielania wewnętrznego;Carcinoma in situ of thyroid and other endocrine glands
D09.7;Rak in situ o innym określonym umiejscowieniu;Carcinoma in situ of other specified sites
D09.9;Rak in situ, umiejscowienie nieokreślone;Carcinoma in situ, unspecified
D10;Nowotwór niezłośliwy jamy ustnej i gardła;
D10.0;Warga;Benign neoplasm of lip
D10.1;Język;Benign neoplasm of tongue
D10.2;Dno jamy ustnej;Benign neoplasm of floor of mouth
D10.3;Inne i nieokreślone części jamy ustnej;Benign neoplasm of other and unspecified parts of mouth
D10.4;Migdałek;Benign neoplasm of tonsil
D10.5;Inne struktury okolicy ustno-gardłowej;Benign neoplasm of other parts of oropharynx
D10.6;Część nosowa gardła;Benign neoplasm of nasopharynx
D10.7;Część krtaniowa gardła;Benign neoplasm of hypopharynx
D10.9;Gardło, umiejscowienie nieokreślone;Benign neoplasm of pharynx, unspecified
D11;Nowotwór niezłośliwy dużych gruczołów ślinowych;
D11.0;Ślinianka przyuszna;Benign neoplasm of parotid gland
D11.7;Inne duże gruczoły ślinowe;Benign neoplasm of other major salivary glands
D11.9;Duży gruczoł ślinowy, umiejscowienie nieokreślone;Benign neoplasm of major salivary gland, unspecified
D12;Nowotwór niezłośliwy okrężnicy, odbytnicy, odbytu i kanału odbytu;
D12.0;Jelito ślepe;Benign neoplasm of caecum
D12.1;Wyrostek robaczkowy;Benign neoplasm of appendix
D12.2;Okrężnica wstępująca;Benign neoplasm of ascending colon
D12.3;Okrężnica poprzeczna;Benign neoplasm of transverse colon
D12.4;Okrężnica zstępująca;Benign neoplasm of descending colon
D12.5;Esica;Benign neoplasm of sigmoid colon
D12.6;Okrężnica, umiejscowienie nieokreślone;Benign neoplasm of colon, unspecified
D12.7;Zgięcie esiczo-odbytnicze;Benign neoplasm of rectosigmoid junction
D12.8;Odbytnica;Benign neoplasm of rectum
D12.9;Odbyt i kanał odbytu;Benign neoplasm of anus and anal canal
D13;Nowotwór niezłośliwy innych i niedokładnie określonych części układu pokarmowego;
D13.0;Przełyk;Benign neoplasm of oesophagus
D13.1;Żołądek;Benign neoplasm of stomach
D13.2;Dwunastnica;Benign neoplasm of duodenum
D13.3;Inne i nieokreślone części jelita cienkiego;Benign neoplasm of other and unspecified parts of small intestine
D13.4;Wątroba;Benign neoplasm of liver
D13.5;Drogi żółciowe zewnątrzwątrobowe;Benign neoplasm of extrahepatic bile ducts
D13.6;Trzustka;Benign neoplasm of pancreas
D13.7;Część wewnątrzwydzielnicza trzustki;Benign neoplasm of endocrine pancreas
D13.9;Część układu pokarmowego niedokładnie określona;Benign neoplasm of ill-defined sites within the digestive system
D14;Nowotwór niezłośliwy ucha środkowego i układu oddechowego;
D14.0;Ucho środkowe, jama nosowa i zatoki przynosowe;Benign neoplasm of middle ear, nasal cavity and accessory sinuses
D14.1;Krtań;Benign neoplasm of larynx
D14.2;Tchawica;Benign neoplasm of trachea
D14.3;Oskrzele i płuco;Benign neoplasm of bronchus and lung
D14.4;Układ oddechowy, umiejscowienie nieokreślone;Benign neoplasm of respiratory system, unspecified
D15;Nowotwór niezłośliwy innych i nieokreślonych narządów klatki piersiowej;
D15.0;Grasica;Benign neoplasm of thymus
D15.1;Serce;Benign neoplasm of heart
D15.2;Śródpiersie;Benign neoplasm of mediastinum
D15.7;Inne określone narządy klatki piersiowej;Benign neoplasm of other specified intrathoracic organs
D15.9;Nieokreślony narząd klatki piersiowej;Benign neoplasm of intrathoracic organ, unspecified
D16;Nowotwór niezłośliwy kości i chrząstki stawowej;
D16.0;Łopatka i kości długie kończyny górnej;Benign neoplasm of scapula and long bones of upper limb
D16.1;Kości krótkie kończyny górnej;Benign neoplasm of short bones of upper limb
D16.2;Kości długie kończyny dolnej;Benign neoplasm of long bones of lower limb
D16.3;Kości krótkie kończyny dolnej;Benign neoplasm of short bones of lower limb
D16.4;Kości czaszki i twarzy;Benign neoplasm of bones of skull and face
D16.5;Żuchwa;Benign neoplasm of lower jaw bone
D16.6;Kości kręgosłupa;Benign neoplasm of vertebral column
D16.7;Żebra, mostek i obojczyk;Benign neoplasm of ribs, sternum and clavicle
D16.8;Kości miednicy, kość krzyżowa i guziczna;Benign neoplasm of pelvic bones, sacrum and coccyx
D16.9;Kości i chrząstki stawowe, umiejscowienie nieokreślone;Benign neoplasm of bone and articular cartilage, unspecified
D17;Nowotwór niezłośliwy z tkanki tłuszczowej;
D17.0;Tłuszczak skóry i tkanki podskórnej głowy, twarzy i szyi;Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck
D17.1;Tłuszczak skóry i tkanki podskórnej tułowia;Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
D17.2;Tłuszczak skóry i tkanki podskórnej kończyn;Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
D17.3;Tłuszczak skóry i tkanki podskórnej o innym i nieokreślonym umiejscowieniu;Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
D17.4;Tłuszczak narządów klatki piersiowej;Benign lipomatous neoplasm of intrathoracic organs
D17.5;Tłuszczak narządów jamy brzusznej;Benign lipomatous neoplasm of intra-abdominal organs
D17.6;Tłuszczak powrózka nasiennego;Benign lipomatous neoplasm of spermatic cord
D17.7;Tłuszczak o innym umiejscowieniu;Benign lipomatous neoplasm of other sites
D17.9;Tłuszczak, umiejscowienie nieokreślone;Benign lipomatous neoplasm, unspecified
D18;Naczyniaki krwionośne i chłonne o dowolnym umiejscowieniu;
D18.0;Naczyniak krwionośny o dowolnym umiejscowieniu;Haemangioma, any site
D18.1;Naczyniak chłonny o dowolnym umiejscowieniu;Lymphangioma, any site
D19;Nowotwór niezłośliwy mezotelium;
D19.0;Międzybłoniak opłucnej;Benign neoplasm of mesothelial tissue of pleura
D19.1;Międzybłoniak otrzewnej;Benign neoplasm of mesothelial tissue of peritoneum
D19.7;Międzybłoniak o innym umiejscowieniu;Benign neoplasm of mesothelial tissue of other sites
D19.9;Międzybłoniak, umiejscowienie nieokreślone;Benign neoplasm of mesothelial tissue, unspecified
D20;Nowotwór niezłośliwy tkanek miękkich otrzewnej i przestrzeni zaotrzewnowej;
D20.0;Przestrzeń zaotrzewnowa;Benign neoplasm of retroperitoneum
D20.1;Otrzewna;Benign neoplasm of peritoneum
D21;Inne nowotwory niezłośliwe tkanki łącznej i innych tkanek miękkich;
D21.0;Tkanka łączna i inne tkanki miękkie głowy, twarzy i szyi;Other benign neoplasm of connective and other soft tissue of head, face and neck
D21.1;Tkanka łączna i inne tkanki miękkie kończyny górnej, łącznie z barkiem;Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder
D21.2;Tkanka łączna i inne tkanki miękkie kończyny dolnej, łącznie z biodrem;Other benign neoplasm of connective and other soft tissue of lower limb, including hip
D21.3;Tkanka łączna i inne tkanki miękkie klatki piersiowej;Other benign neoplasm of connective and other soft tissue of thorax Axilla
D21.4;Tkanka łączna i inne tkanki miękkie brzucha;Other benign neoplasm of connective and other soft tissue of abdomen
D21.5;Tkanka łączna i inne tkanki miękkie miednicy;Other benign neoplasm of connective and other soft tissue of pelvis
D21.6;Tkanka łączna i inne tkanki miękkie tułowia, umiejscowienie nieokreślone;Other benign neoplasm of connective and other soft tissue of trunk, unspecified
D21.9;Tkanka łączna i inne tkanki miękkie, umiejscowienie nieokreślone;Other benign neoplasm of connective and other soft tissue, unspecified
D22;Znamiona barwnikowe;
D22.0;Znamiona melanocytowe wargi;Melanocytic naevi of lip
D22.1;Znamiona melanocytowe powieki, łącznie z kątem oka;Melanocytic naevi of eyelid, including canthus
D22.2;Znamiona melanocytowe ucha i przewodu słuchowego zewnętrznego;Melanocytic naevi of ear and external auricular canal
D22.3;Znamiona melanocytowe innych i nieokreślonych części twarzy;Melanocytic naevi of other and unspecified parts of face
D22.4;Znamiona melanocytowe owłosionej skóry głowy i skóry szyi;Melanocytic naevi of scalp and neck
D22.5;Znamiona melanocytowe tułowia;Melanocytic naevi of trunk
D22.6;Znamiona melanocytowe kończyny górnej, łącznie z barkiem;Melanocytic naevi of upper limb, including shoulder
D22.7;Znamiona melanocytowe kończyny dolnej, łącznie z biodrem;Melanocytic naevi of lower limb, including hip
D22.9;Znamiona melanocytowe, umiejscowienie nieokreślone;Melanocytic naevi, unspecified
D23;Inne nowotwory niezłośliwe skóry;
D23.0;Skóra wargi;Other benign neoplasm of skin of lip
D23.1;Skóra powieki, łącznie z kątem oka;Other benign neoplasm of skin of eyelid, including canthus
D23.2;Skóra ucha i przewodu słuchowego zewnętrznego;Other benign neoplasm of skin of ear and external auricular canal
D23.3;Skóra innych i nieokreślonych części twarzy;Other benign neoplasm of skin of other and unspecified parts of face
D23.4;Skóra owłosiona głowy i szyi;Other benign neoplasm of skin of scalp and neck
D23.5;Skóra tułowia;Other benign neoplasm of skin of trunk
D23.6;Skóra kończyny górnej, łącznie z barkiem;Other benign neoplasm of skin of upper limb, including shoulder
D23.7;Skóra kończyny dolnej, łącznie z biodrem;Other benign neoplasm of skin of lower limb, including hip
D23.9;Skóra, umiejscowienie nieokreślone;Other benign neoplasm of skin, unspecified
D24;Nowotwór niezłośliwy piersi;Benign neoplasm of breast
D25;Mięśniak gładkokomórkowy macicy;
D25.0;Mięśniak gładkokomórkowy podśluzówkowy macicy;Submucous leiomyoma of uterus
D25.1;Mięśniak gładkokomórkowy śródścienny macicy;Intramural leiomyoma of uterus
D25.2;Mięśniak gładkokomórkowy podsurowiczy macicy;Subserosal leiomyoma of uterus
D25.9;Mięśniak gładkokomórkowy macicy, umiejscowienie nieokreślone;Leiomyoma of uterus, unspecified
D26;Inne nowotwory niezłośliwe macicy;
D26.0;Szyjka macicy;Other benign neoplasm of cervix uteri
D26.1;Trzon macicy;Other benign neoplasm of corpus uteri
D26.7;Inne części macicy;Other benign neoplasm of other parts of uterus
D26.9;Macica, umiejscowienie nieokreślone;Other benign neoplasm of uterus, unspecified
D27;Nowotwór niezłośliwy jajnika;Benign neoplasm of ovary
D28;Nowotwór niezłośliwy innych i nieokreślonych żeńskich narządów płciowych;
D28.0;Srom;Benign neoplasm of vulva
D28.1;Pochwa;Benign neoplasm of vagina
D28.2;Jajowody i więzadła macicy;Benign neoplasm of uterine tubes and ligaments
D28.7;Inne określone żeńskie narządy płciowe;Benign neoplasm of other specified female genital organs
D28.9;Żeńskie narządy płciowe, umiejscowienie nieokreślone;Benign neoplasm of female genital organ, unspecified
D29;Nowotwór niezłośliwy męskich narządów płciowych;
D29.0;Prącie;Benign neoplasm of penis
D29.1;Gruczoł krokowy;Benign neoplasm of prostate
D29.2;Jądro;Benign neoplasm of testis
D29.3;Najądrze;Benign neoplasm of epididymis
D29.4;Moszna;Benign neoplasm of scrotum
D29.7;Inne męskie narządy płciowe;Benign neoplasm of other male genital organs
D29.9;Męskie narządy płciowe, umiejscowienie nieokreślone;Benign neoplasm of male genital organ, unspecified
D30;Nowotwór niezłośliwy układu moczowego;
D30.0;Nerka;Benign neoplasm of kidney
D30.1;Miedniczka nerkowa;Benign neoplasm of renal pelvis
D30.2;Moczowód;Benign neoplasm of ureter
D30.3;Pęcherz moczowy;Benign neoplasm of bladder
D30.4;Cewka moczowa;Benign neoplasm of urethra
D30.7;Inne narządy układu moczowego;Benign neoplasm of other urinary organs
D30.9;Układ moczowy, umiejscowienie nieokreślone;Benign neoplasm of urinary organ, unspecified
D31;Nowotwór niezłośliwy oka i przydatków oka;
D31.0;Spojówka;Benign neoplasm of conjunctiva
D31.1;Rogówka;Benign neoplasm of cornea
D31.2;Siatkówka;Benign neoplasm of retina
D31.3;Naczyniówka;Benign neoplasm of choroid
D31.4;Ciało rzęskowe;Benign neoplasm of ciliary body
D31.5;Gruczoł i drogi łzowe;Benign neoplasm of lacrimal gland and duct
D31.6;Oczodół, umiejscowienie nieokreślone;Benign neoplasm of orbit, unspecified
D31.9;Oko, umiejscowienie nieokreślone;Benign neoplasm of eye, unspecified
D32;Nowotwór niezłośliwy opon mózgowo-rdzeniowych;
D32.0;Opony mózgowe;Benign neoplasm of cerebral meninges
D32.1;Opony rdzeniowe;Benign neoplasm of spinal meninges
D32.9;Opony mózgowo-rdzeniowe, umiejscowienie nieokreślone;Benign neoplasm of meninges, unspecified
D33;Nowotwór niezłośliwy mózgu i innych części ośrodkowego układu nerwowego;
D33.0;Mózg, struktury nadnamiotowe;Benign neoplasm of brain, supratentorial
D33.1;Mózg, struktury podnamiotowe;Benign neoplasm of brain, infratentorial
D33.2;Mózg, umiejscowienie nieokreślone;Benign neoplasm of brain, unspecified
D33.3;Nerwy czaszkowe;Benign neoplasm of cranial nerves
